Item_Type,Brand_Code,Model_Code,Compatible_Models,Part_Cat_Code,Var_Code,Product_ID,Barcode,Product_Name,Category,Brand,Description,Requires_Serial,Original_Cost,Opening_Stock,Current_Stock,Average_Cost,Sale_Price,Wholesale_Price,Reorder_Level,Warranty_Period,Shelf_Location,Status,Images,Stock_View
Spare Part,RM,7,NO,TL,BLK,RM-7-TL-BLK,RM-7-TL-BLK,RM 7 - NO TL (BLK),TL,Xiaomi,,,31500,2,5,31278,38000,37000,2,1 Month Warranty ,Box1,Active (ရောင်းမည်),,🛒 အရောင်းပါး
Spare Part,RM,8,8/8A,TL,BLK,RM-8-TL-BLK,RM-8-TL-BLK,RM 8 - 8/8A TL (BLK),TL,Xiaomi,,,30000,1,20,29407,38000,37000,2,1 Month Warranty ,Box1,Active (ရောင်းမည်),,✅ ပုံမှန်
Spare Part,RM,9/POCOM2,9/POCOM2,TL,"ORG , BLK",RM-9/POCOM2-TL-ORG -BLK,RM-9/POCOM2-TL-ORG -BLK,"RM 9/POCOM2 - 9/POCOM2 TL (ORG , BLK)",TL,Xiaomi,,,30000,2,3,30222,38000,37000,2,1 Month Warranty ,Box1,Active (ရောင်းမည်),,✅ ပုံမှန်
Spare Part,RM,9A,9A/9C/10A,TL,"ORG , BLK",RM-9A-TL-ORG -BLK,RM-9A-TL-ORG -BLK,"RM 9A - 9AL9C/10A TL (ORG , BLK)",TL,Xiaomi,,,33000,5,14,30207,37000,36000,2,1 Month Warranty ,Box1,Active (ရောင်းမည်),,🔥 အရောင်းကောင်း
Spare Part,RM,104G,NO,TL,"ORG , BLK",RM-104G-TL-ORG -BLK,RM-104G-TL-ORG -BLK,"RM 104G - NO TL (ORG , BLK)",TL,Xiaomi,,,32500,2,8,32357,39000,38000,2,1 Month Warranty ,Box1,Active (ရောင်းမည်),,✅ ပုံမှန်
Spare Part,RM,10C,NO,TL,"ORG , BLK",RM-10C-TL-ORG -BLK,RM-10C-TL-ORG -BLK,"RM 10C - NO TL (ORG , BLK)",TL,Xiaomi,,,30000,1,3,29629,38000,37000,2,1 Month Warranty ,Box1,Active (ရောင်းမည်),,🛒 အရောင်းပါး
Spare Part,RM,12,12R,TL,"ORG , BLK",RM-12-TL-ORG -BLK,RM-12-TL-ORG -BLK,"12R/RM13 TL (ORG , BLK)",TL,Xiaomi,,,36000,1,11,33667,44000,43000,2,1 Month Warranty ,Box1,Active (ရောင်းမည်),,🛒 အရောင်းပါး
Spare Part,RM,12C,NO,TL,BLK,RM-12C-TL-BLK,RM-12C-TL-BLK,RM 12C - NO TL (BLK),TL,Xiaomi,,,30000,1,6,30143,37000,36500,2,1 Month Warranty ,Box1,Active (ရောင်းမည်),,🛒 အရောင်းပါး
Spare Part,RM,13C,RM13C/RM13R,TL,"ORG , BLK",RM-13C-TL-ORG -BLK,RM-13C-TL-ORG -BLK,"RM 13C - RM13C/RM13R TL (ORG , BLK)",TL,Xiaomi,,,31500,0,7,29644,37000,36000,2,1 Month Warranty ,Box1,Active (ရောင်းမည်),,🛒 အရောင်းပါး
Spare Part,RM,14C,NO,TL,"ORG , BLK",RM-14C-TL-ORG -BLK,RM-14C-TL-ORG -BLK,"RM 14C - NO TL (ORG , BLK)",TL,Xiaomi,,,30500,1,7,30850,38000,37000,3,1 Month Warranty ,Box1,Active (ရောင်းမည်),,🛒 အရောင်းပါး
Spare Part,RM,Mi 8 LITE,NO,TL,"ORG , BLK",RM-8 LITE-TL-ORG -BLK,RM-8 LITE-TL-ORG -BLK,"RM MI 8 LITE - NO TL (ORG , BLK)",TL,Xiaomi,,,45000,1,1,45000,55000,55000,2,1 Month Warranty ,Box1,Active (ရောင်းမည်),,🆕 အသစ်/မရောင်းရသေး
Spare Part,RM,9LITE,CC9/Mi 9Lite,TL,"ORG , BLK",RM-9LITE-TL-ORG -BLK,RM-MI 9LITE-TL-ORG -BLK,"RM MI 9LITE - CC9/MI 9LITE TL (ORG , BLK)",TL,Xiaomi,,,95000,2,2,95000,120000,120000,2,1 Month Warranty ,Box1,Active (ရောင်းမည်),,🆕 အသစ်/မရောင်းရသေး
Spare Part,RM,9SE,NO,TL,BLK,RM-9SE-TL-BLK,RM-9SE-TL-BLK,RM MI 9SE - NO TL (BLK),TL,Xiaomi,,,50000,3,1,50000,55000,57000,2,1 Month Warranty ,Box1,Active (ရောင်းမည်),,🆕 အသစ်/မရောင်းရသေး
Spare Part,RM,N13-5G,NO,TL,BLK,RM-N135G-TL-BLK,RM-N13-5G-TL-BLK,RM N13-5G - NO TL TFT,TL,Xiaomi,,,38000,1,2,41000,48000,47000,2,1 Month Warranty ,Box1,Active (ရောင်းမည်),,🛒 အရောင်းပါး
Spare Part,RM,N13/4g,NO,TL,BLK,RM-N134G-TL-ORG -BLK,RM-N13-4G TL -BLK,RM N13-4g/N14-4g/5g/TL TFT,TL,Xiaomi,,,37000,1,11,56462,48000,47000,2,1 Month Warranty ,Box1,Active (ရောင်းမည်),,🛒 အရောင်းပါး
Spare Part,RM,A3,NO,TL,"MA , BLK",RM-A3-TL-MA -BLK,RM-A3-TL-MA -BLK,"RM A3 - NO TL (MA , BLK)",TL,Xiaomi,,,29500,1,4,30600,38000,38000,2,1 Month Warranty ,Box1,Active (ရောင်းမည်),,🛒 အရောင်းပါး
Spare Part,RM,A5,NO,TL,"MA , BLK",RM-A5-TL-MA -BLK,RM-A5-TL-MA -BLK,"RM A5 - NO TL (MA , BLK)",TL,Xiaomi,ေျ,,30500,1,6,31286,39000,38000,2,1 Month Warranty ,Box1,Active (ရောင်းမည်),,🛒 အရောင်းပါး
Spare Part,RM,A1,RMA1/A2/A2+/A1+,TL,"MA , BLK",RM-A1-TL-MA -BLK,RM-A1-TL-MA -BLK,"RM A1 - RMA1/A2/A2+/A1+ TL (MA , BLK)",TL,Xiaomi,,,29000,,1,29000,37000,37000,2,1 Month Warranty ,Box1,Active (ရောင်းမည်),,🆕 အသစ်/မရောင်းရသေး
Spare Part,RM,5X,MI5X/MIA1,TL,"ORG , WHT",RM-5X-TL-ORG -WHT,RM-5X-TL-ORG -WHT,"RM 5X - MI5X/MIA1 TL (ORG , WHT)",TL,Xiaomi,,,32000,1,1,35000,37000,36000,2,1 Month Warranty ,Box1,Active (ရောင်းမည်),,🆕 အသစ်/မရောင်းရသေး
,,,,,,,,,,,,,,,,,,,,,,,,
Spare Part,RM,S2,NO,TL,"MA , BLK",RM-S2-TL-MA -BLK,RM-S2-TL-MA -BLK,"RM S2 - NO TL (MA , BLK)",TL,Xiaomi,,,34000,1,1,38000,37000,37000,2,1 Month Warranty ,Box1,Active (ရောင်းမည်),,🆕 အသစ်/မရောင်းရသေး
Spare Part,RM,S2,NO,TL,"MA , WHT",RM-S2-TL-MA -WHT,RM-S2-TL-MA -WHT,"RM S2 - NO TL (MA , WHT)",TL,Xiaomi,,,34500,1,0,34500,37000,41000,2,1 Month Warranty ,Box1,Active (ရောင်းမည်),,🆕 အသစ်/မရောင်းရသေး
Spare Part,RM,N3,NO,TL,"ORG , WHT",RM-N3-TL-ORG -WHT,RM-N3-TL-ORG -WHT,"RM N3 - NO TL (ORG , WHT)",TL,Xiaomi,,,30500,1,1,33000,36000,34000,2,1 Month Warranty ,Box1,Active (ရောင်းမည်),,🆕 အသစ်/မရောင်းရသေး
Spare Part,RM,N4,NO,TL,"AAA , WHT",RM-N4-TL-AAA -WHT,RM-N4-TL-AAA -WHT,"RM N4 - NO TL (AAA , WHT)",TL,Xiaomi,,,31000,1,0,31000,36000,35000,2,1 Month Warranty ,Box1,Active (ရောင်းမည်),,🛒 အရောင်းပါး
Spare Part,RM,N5,No,TL,"ORG , BLK",RM-N5-TL-ORG -BLK,RM-N5-TL-ORG -BLK,"RM N5 - NO TL (ORG , BLK)",TL,Xiaomi,,,28500,1,2,27500,38000,37000,2,1 Month Warranty ,Box1,Active (ရောင်းမည်),,🆕 အသစ်/မရောင်းရသေး
Spare Part,RM,N7,NO,TL,"ORG , BLK",RM-N7-TL-ORG -BLK,RM-N7-TL-ORG -BLK,"RM N7 - NO TL (ORG , BLK)",TL,Xiaomi,,,29500,3,5,29500,37000,36000,2,1 Month Warranty ,Box1,Active (ရောင်းမည်),,🛒 အရောင်းပါး
Spare Part,RM,N8PRO,NO,TL,"ORG , BLK",RM-N8PRO-TL-ORG -BLK,RM-N8PRO-TL-ORG -BLK,"RM N8PRO - NO TL (ORG , BLK)",TL,Xiaomi,,,31500,0,5,31321,39000,38000,2,1 Month Warranty ,Box1,Active (ရောင်းမည်),,🛒 အရောင်းပါး
Spare Part,RM,N94G,RM N94G/9T,TL,"ORG , BLK",RM-N94G-TL-ORG -BLK,RM-N94G-TL-ORG -BLK,"RM N94G - RM N94G/9T TL (ORG , BLK)",TL,Xiaomi,,,30000,1,4,30714,38000,38000,2,1 Month Warranty ,Box1,Active (ရောင်းမည်),,🛒 အရောင်းပါး
Spare Part,RM,N9,RM N9/10X4G,TL,"ORG , BLK",RM-N9-TL-ORG -BLK,RM-N9-TL-ORG -BLK,"RM  N9/10X4G TL (ORG , BLK)",TL,Xiaomi,,,31500,2,5,30500,37000,37000,2,1 Month Warranty ,Box1,Active (ရောင်းမည်),,🛒 အရောင်းပါး
Spare Part,RM,N9PRO(5G),NO,TL,"MA , BLK",RM-N9PRO(5G)-TL-MA -BLK,RM-N9PRO(5G)-TL-MA -BLK,"RM N9PRO(5G) - NO TL (MA , BLK)",TL,Xiaomi,,,37100,2,4,35050,43000,41000,2,1 Month Warranty ,Box1,Active (ရောင်းမည်),,🆕 အသစ်/မရောင်းရသေး
Spare Part,RM,N104G,RM N104G/10S,TL,BLK,RM-N104G-TL-BLK,RM-N104G-TL-BLK TFT,RM N104G -N10S TFT,TL,Xiaomi,,,47000,1,3,38667,55000,50000,2,1 Month Warranty ,Box1,Active (ရောင်းမည်),,🆕 အသစ်/မရောင်းရသေး
Spare Part,RM,N105G,NO,TL,BLK,RM-N105G-TL-BLK,RM-N105G-TL-BLK,RM N105G - NO TL (BLK),TL,Xiaomi,,,33000,2,6,33375,40000,40000,2,1 Month Warranty ,Box1,Active (ရောင်းမည်),,🛒 အရောင်းပါး
Spare Part,RM,N10PRO5G,No,TL,"ORG , BLK",RM-N10PRO5G-TL-ORG -BLK,RM-N10PRO5G-TL-ORG -BLK,"RM N10PRO5G - NO TL (ORG , BLK)",TL,Xiaomi,,,37000,1,0,37250,47000,42000,2,1 Month Warranty ,Box1,Active (ရောင်းမည်),,🛒 အရောင်းပါး
Spare Part,RM,N10PRO N11EPRO AMOLED,RM N10PRO/N11EPRO AMOLED,TL,BLK,RM-N10PRO4G-TL-BLK,RM-N10PRO-TL-BLK,RM N10PRO4G N11EPRO TL AMOLED,TL,Xiaomi,,,37000,0,5,50250,134000,130000,3,1 Month Warranty ,Box1,Active (ရောင်းမည်),,🛒 အရောင်းပါး
Spare Part,RM,10(5G),NO,TL,BLK,RM-10(5G)-TL-BLK,RM-10(5G)-TL-BLK,RM 10(5G) - NO TL (BLK),TL,Xiaomi,,,32500,1,6,36000,42000,41000,2,1 Month Warranty ,Box1,Active (ရောင်းမည်),,🆕 အသစ်/မရောင်းရသေး
Spare Part,RM,N11/11S,NO,TL,BLK,RM-11/11S-TL-BLK,RM-N11/11S-TL-BLK,RM N11/11S - NO TL (BLK),TL,Xiaomi,,,45000,1,7,37563,47000,46000,2,1 Month Warranty ,Box1,Active (ရောင်းမည်),,🛒 အရောင်းပါး
Spare Part,RM,N115G,NO,TL,"MA , BLK",RM-N115G-TL-MA -BLK,RM-N115G-TL-MA -BLK,"RM N115G - NO TL (MA , BLK)",TL,Xiaomi,,,40000,1,4,41375,49000,48000,2,1 Month Warranty ,Box1,Active (ရောင်းမည်),,🆕 အသစ်/မရောင်းရသေး
Spare Part,RM,N12,NO,TL,BLK,RM-N12-TL-BLK,RM-N12-TL-BLK,RM N12 - NO TL TFT,TL,Xiaomi,,,37000,2,3,37000,47000,48000,2,1 Month Warranty ,Box1,Active (ရောင်းမည်),,🛒 အရောင်းပါး
Spare Part,RM,N12PRO5G,NO,TL,BLK,RM-N12PRO5G-TL-BLK,RM-N12PRO5G-TL-BLK,RM N12PRO5G - NO TL TFT,TL,Xiaomi,,,37000,0,3,38000,47000,44000,2,1 Month Warranty ,Box1,Active (ရောင်းမည်),,🛒 အရောင်းပါး
Spare Part,OP,NERO5,NO,TL,"ORG , BLK",OP-NERO5-TL-ORG -BLK,OP-NERO5-TL-ORG -BLK,"OP NERO5 - NO TL (ORG , BLK)",TL,OPPO,,,25000,1,1,25000,27000,27000,2,1 Month Warranty ,Box1,Active (ရောင်းမည်),,🆕 အသစ်/မရောင်းရသေး
Spare Part,OP,NERO5,NO,TL,"ORG , WHT",OP-NERO5-TL-ORG -WHT,OP-NERO5-TL-ORG -WHT,"OP NERO5 - NO TL (ORG , WHT)",TL,OPPO,,,25000,1,1,25000,27000,27000,2,1 Month Warranty ,Box1,Active (ရောင်းမည်),,🆕 အသစ်/မရောင်းရသေး
Spare Part,OP,A3S,OPA5/REALME C1,TL,"ORG , BLK",OP-A3S-TL-ORG -BLK,OP-A3S-TL-ORG -BLK,"OP A3S - OPA5/REALME C1 TL (ORG , BLK)",TL,OPPO,,,29500,1,5,28577,37000,36000,2,1 Month Warranty ,Box1,Active (ရောင်းမည်),,🛒 အရောင်းပါး
Spare Part,OP,A5S,No,TL,"ORG , BLK",OP-A5S-TL-ORG -BLK,OP-A5S-TL-ORG -BLK,"OP A5S - NO TL (ORG , BLK)",TL,OPPO,,,29500,2,7,29727,37000,36500,2,1 Month Warranty ,Box1,Active (ရောင်းမည်),,🛒 အရောင်းပါး
Spare Part,OP,A1K,No,TL,BLK,OP-A1K-TL-BLK,OP-A1K-TL-BLK,OP A1K - NO TL (BLK),TL,OPPO,,,36000,,9,28583,37000,36000,2,1 Month Warranty ,Box1,Active (ရောင်းမည်),,🛒 အရောင်းပါး
Spare Part,OP,A16,No,TL,BLK,OP-A16-TL-BLK,OP-A16-TL-BLK,OP A16 - NO TL (BLK),TL,OPPO,,,28500,1,4,28400,37000,37000,2,1 Month Warranty ,Box1,Active (ရောင်းမည်),,🛒 အရောင်းပါး
Spare Part,OP,A83,OP F5Lite,TL,WHT,OP-A83-TL-WHT,OP-A83-TL-WHT,OP A83 - OP F5LITE TL (WHT),TL,OPPO,,,35000,0,2,32000,37500,37000,2,1 Month Warranty ,Box1,Active (ရောင်းမည်),,🆕 အသစ်/မရောင်းရသေး
Spare Part,OP,A71,No,TL,"ORG , WHT",OP-A71-TL-ORG -WHT,OP-A71-TL-ORG -WHT,"OP A71 - NO TL (ORG , WHT)",TL,OPPO,,,32000,3,2,32000,37000,36500,2,1 Month Warranty ,Box1,Active (ရောင်းမည်),,🆕 အသစ်/မရောင်းရသေး
Spare Part,OP,A53(5G),No,TL,"ORG , BLK",OP-A53(5G)-TL-ORG -BLK,OP-A53(5G)-TL-ORG -BLK,"OP A53(5G) - NO TL (ORG , BLK)",TL,OPPO,,,39000,3,2,39000,44000,43000,2,1 Month Warranty ,Box1,Active (ရောင်းမည်),,🛒 အရောင်းပါး
Spare Part,OP,A52,A72(4G),TL,"ORG , BLK",OP-A52-TL-ORG -BLK,OP-A52-TL-ORG -BLK,"OP A52 - A72(4G) TL (ORG , BLK)",TL,OPPO,,,36500,3,5,34100,42000,42000,2,1 Month Warranty ,Box1,Active (ရောင်းမည်),,🆕 အသစ်/မရောင်းရသေး
Spare Part,OP,A54(4G),A55(4G),TL,"ORG , BLK",OP-A54(4G)-TL-ORG -BLK,OP-A54(4G)-TL-ORG -BLK,"OP A54(4G) - A55(4G) TL (ORG , BLK)",TL,OPPO,,,35000,8,13,33192,40000,39000,2,1 Month Warranty ,Box1,Active (ရောင်းမည်),,🆕 အသစ်/မရောင်းရသေး
Spare Part,OP,F3PLUS,No,TL,"ORG , WHT",OP-F3PLUS-TL-ORG -WHT,OP-F3PLUS-TL-ORG -WHT,"OP F3PLUS - NO TL (ORG , WHT)",TL,OPPO,,,35000,1,1,35000,39000,38000,2,1 Month Warranty ,Box1,Active (ရောင်းမည်),,🆕 အသစ်/မရောင်းရသေး
Spare Part,OP,F15,OPF17,TL,"ORG , BLK",OP-F15-TL-ORG -BLK,OP-F15-TL-ORG -BLK,"OP F15 - OPF17 TL (ORG , BLK)",TL,OPPO,,,34000,1,0,34000,41000,50000,2,1 Month Warranty ,Box1,Active (ရောင်းမည်),,🛒 အရောင်းပါး
Spare Part,OP,oppo f19 Tft,No,TL,BLK,RM-F19-TL-ORG -BLK,-F19-TL-ORG -BLK,oppo f19,TL,OPPO,,,35000,2,1,35000,40000,39000,2,1 Month Warranty ,Box1,Active (ရောင်းမည်),,🆕 အသစ်/မရောင်းရသေး
Spare Part,OP,F11,OPA9,TL,"ORG , BLK",OP-F11-TL-ORG -BLK,OP-F11-TL-ORG -BLK,"OP F11 - OPA9 TL (ORG , BLK)",TL,OPPO,,,30000,1,2,29625,38000,38000,2,1 Month Warranty ,Box1,Active (ရောင်းမည်),,🆕 အသစ်/မရောင်းရသေး
Spare Part,OP,F11PRO,No,TL,"ORG , BLK",OP-F11PRO-TL-ORG -BLK,OP-F11PRO-TL-ORG -BLK,"OP F11PRO - NO TL (ORG , BLK)",TL,OPPO,,,40000,4,4,40000,44000,44000,2,1 Month Warranty ,Box1,Active (ရောင်းမည်),,🆕 အသစ်/မရောင်းရသေး
Spare Part,OP,C30,Realme C33,TL,"ORG , BLK",OP-C30-TL-ORG -BLK,OP-C30-TL-ORG -BLK,"OP C30 - REALME C33 TL (ORG , BLK)",TL,REALME,,,35000,2,2,35000,38500,38000,2,1 Month Warranty ,Box1,Active (ရောင်းမည်),,🆕 အသစ်/မရောင်းရသေး
Spare Part,OP,C51,REALME C53/N50,TL,"ORG , BLK",OP-C51-TL-ORG -BLK,OP-C51-TL-ORG -BLK,"OP C51 - REALME C53/N50 TL (ORG , BLK)",TL,REALME,,,29500,0,3,31650,37500,37000,2,1 Month Warranty ,Box1,Active (ရောင်းမည်),,🛒 အရောင်းပါး
Spare Part,OP,C35,REALME C31,TL,"ORG , BLK",OP-C35-TL-ORG -BLK,OP-C35-TL-ORG -BLK,"OP C35 - REALME C31 TL (ORG , BLK)",TL,REALME,,,33500,1,2,36000,37000,36500,2,1 Month Warranty ,Box1,Active (ရောင်းမည်),,🆕 အသစ်/မရောင်းရသေး
Spare Part,OP,C11,OP A12/A15,TL,"ORG , BLK",OP-C11-TS-ORG -BLK,,"OP C11 - OP A12/A15/A16K TL(ORG , BLK)",TL,REALME,,,29000,4,7,29500,37000,36000,2,1 Month Warranty ,Box1,Active (ရောင်းမည်),,🛒 အရောင်းပါး
,,,,,,,,,,,,,,,,,,,,,,,,
Spare Part,OP,C20,REALME C21/C11,TL,"ORG , BLK",OP-C20-TL-ORG -BLK,OP-C20-TL-ORG -BLK,"OP C20 - REALME C21/C11 TL (ORG , BLK)",TL,REALME,,,30000,3,1,30000,36500,36000,,1 Month Warranty ,Box1,Active (ရောင်းမည်),,🛒 အရောင်းပါး
Spare Part,OP,C67(4G),No,TL,"ORG , BLK",OP-C67(4G)-TL-ORG -BLK,OP-C67(4G)-TL-ORG -BLK,"OP C67(4G) - NO TL (ORG , BLK)",TL,REALME,,,39000,1,0,39000,43500,43000,2,1 Month Warranty ,Box1,Active (ရောင်းမည်),,🆕 အသစ်/မရောင်းရသေး
Spare Part,OP,C65/A3X,NO,TL,BLK,OP-C65-TL-BLK,OP-C65/A3X-TL-BLK,OP C65/A3X - NO TL (BLK),TL,REALME,,,29500,1,2,29500,42000,41000,2,1 Month Warranty ,Box1,Active (ရောင်းမည်),,🆕 အသစ်/မရောင်းရသေး
Spare Part,OP,R15X,OP K1/K5/RENO Z/REALME X2,TL,"ORG , BLK",OP-R15X-TL-ORG -BLK,OP-R15X-TL-ORG -BLK,"OP R15X - RENO Z TL (ORG , BLK)",TL,REALME,,,100000,1,1,100000,120000,120000,2,1 Month Warranty ,Box1,Active (ရောင်းမည်),,🆕 အသစ်/မရောင်းရသေး
Spare Part,OP,A17,OP A57 (5G)/ A17K/A17/A18,TL,"ORG , BLK",OP-A17-TL-ORG -BLK,OP-A17-TL-ORG -BLK,"OP A17 - OP A57 (5G)/ A17K/A17/A18 TL (ORG , BLK)",TL,REALME,,,30000,1,11,29500,37000,36000,2,1 Month Warranty ,Box1,Active (ရောင်းမည်),,🛒 အရောင်းပါး
Spare Part,VV,Y11,Vv Y3 /Y12/Y15,TL,"ORG , BLK",VV-Y11-TL-ORG -BLK,VV-Y11-TL-ORG -BLK,"VV Y11 - VV Y3 /Y12/Y15 TL (ORG , BLK)",TL,Vivo,,,29000,0,13,30733,38000,37000,2,1 Month Warranty ,Box1,Active (ရောင်းမည်),,🛒 အရောင်းပါး
Spare Part,VV,V15,Vv S1,TL,BLK,VV-V15-TL-BLK,VV-V15-TL-BLK,VV V15 - VV S1 TL (BLK),TL,Vivo,,,42500,2,0,42500,49000,47000,2,1 Month Warranty ,Box1,Active (ရောင်းမည်),,🛒 အရောင်းပါး
Spare Part,VV,Y91,VV Y90/Y93/Y95,TL,"ORG , BLK",VV-Y91-TL-ORG -BLK,VV-Y91-TL-ORG -BLK,"VV Y91 - VV Y90/Y93/Y95 TL (ORG , BLK)",TL,Vivo,,,29000,0,15,28861,38000,38000,2,1 Month Warranty ,Box1,Active (ရောင်းမည်),,🛒 အရောင်းပါး
Spare Part,VV,Y81,Vv Y83/Y81i,TL,"ORG , BLK",VV-Y81-TL-ORG -BLK,VV-Y81-TL-ORG -BLK,"VV Y81 - VV Y83/Y81I TL (ORG , BLK)",TL,Vivo,,,32000,7,5,32000,38000,36000,2,1 Month Warranty ,Box1,Active (ရောင်းမည်),,🛒 အရောင်းပါး
Spare Part,VV,V9,Vv Y85A,TL,"ORG , BLK",VV-V9-TL-ORG -BLK,VV-V9-TL-ORG -BLK,"VV V9 - VV Y85A TL (ORG , BLK)",TL,Vivo,,,36700,1,4,31100,40000,39000,2,1 Month Warranty ,Box1,Active (ရောင်းမည်),,🛒 အရောင်းပါး
Spare Part,VV,Y22,Vv Y22s/Y17s,TL,"ORG , BLK",VV-Y22-TL-ORG -BLK,VV-Y22-TL-ORG -BLK,"VV Y22 - VV Y22S/Y17S TL (ORG , BLK)",TL,Vivo,,,33000,2,2,38000,39000,37000,2,1 Month Warranty ,Box1,Active (ရောင်းမည်),,🆕 အသစ်/မရောင်းရသေး
Spare Part,VV,Y21S,Vv Y15S/Y21,TL,"ORG , BLK",VV-Y21S-TL-ORG -BLK,VV-Y21S-TL-ORG -BLK,"VV Y21S - VV Y15S/Y21 TL (ORG , BLK)",TL,Vivo,,,34000,1,6,36571,42000,42000,2,1 Month Warranty ,Box1,Active (ရောင်းမည်),,🛒 အရောင်းပါး
Spare Part,VV,Y20,VV Y20S/Y12S/Y01/Y20I,TL,"ORG , BLK",VV-Y20-TL-ORG -BLK,VV-Y20-TL-ORG -BLK,"VV Y20 - VV Y20S/Y12S/Y01/Y20I TL (ORG , BLK)",TL,Vivo,,,34000,0,7,28808,37000,36000,2,1 Month Warranty ,Box1,Active (ရောင်းမည်),,🛒 အရောင်းပါး
Spare Part,VV,Y66,No,TL,"MA , WHT",VV-Y66-TL-MA -WHT,VV-Y66-TL-MA -WHT,"VV Y66 - NO TL (MA , WHT)",TL,Vivo,,,29000,0,4,27957,37000,37000,2,1 Month Warranty ,Box1,Active (ရောင်းမည်),,🛒 အရောင်းပါး
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Spare Part,VV,Y19,Vv Y5S,TL,"MA , BLK",VV-Y19-TL-MA -BLK,VV-Y19-TL-MA -BLK,"VV Y19 - VV Y5S TL (MA , BLK)",TL,Vivo,,,33000,2,1,31667,38000,37000,2,1 Month Warranty ,Box1,Active (ရောင်းမည်),,✅ ပုံမှန်
Spare Part,VV,Y22(5G),NO,TL,BLK,VV-Y22(5G)-TL-BLK,VV-Y22(5G)-TL-BLK,VV Y22(5G) - NO TL (BLK),TL,Vivo,,,35000,3,1,0,39000,38000,2,1 Month Warranty ,Box1,Active (ရောင်းမည်),,🆕 အသစ်/မရောင်းရသေး
