case_id,role,store,shift,viewport,status,expected,actual,record_ids,evidence,notes
DAY-01,Cashier,shwe-pyi-thit-mobile,1,1280x720,PASS,Open POS shift on REG-01 with 100000 opening float,Shift 1 opened on REG-01 with 100000.00 MMK opening cash by Ma Hla Hla,SHIFT:1,docs/uat/UAT-20260919-01/screenshots/day01_shift_opened.png,Drawer expected 100000 MMK
DAY-02,Cashier,shwe-pyi-thit-mobile,1,1280x720,PASS,Barcode scan CHARGER twice (qty 2) and adjust back to 1,Scan UAT-CHG-001 incremented cart to 2 and decremented back to 1 without creating invoice,CART:CHARGER-qty1,docs/uat/UAT-20260919-01/screenshots/day02_cart_scan.png,Drawer unchanged 100000 MMK
DAY-03,Cashier,shwe-pyi-thit-mobile,1,1280x720,PASS,Sell CHARGER 1 + GLASS 1 for 30000 MMK with 50000 tender and 20000 change,Sale RCP-20260919-0001 posted (30000 MMK cash); tender 50000 change 20000; CHARGER MAIN 14 GLASS MAIN 49,SALE:1;RCP:RCP-20260919-0001,docs/uat/UAT-20260919-01/screenshots/day03_sale_completed.png,Drawer expected 130000 MMK
DAY-04,Cashier,shwe-pyi-thit-mobile,1,1280x720,PASS,Sell POWERBANK 1 with serial RMX-2026-001 via KPay 55000 MMK,Sale RCP-20260919-0002 posted (55000 MMK KPay); serial RMX-2026-001 sold and linked to warranty; POWERBANK in MAIN = 9,SALE:2;RCP:RCP-20260919-0002;SER:RMX-2026-001,docs/uat/UAT-20260919-01/screenshots/day04_sale_completed.png,Drawer unchanged 130000 MMK
DAY-05,Cashier,shwe-pyi-thit-mobile,1,1280x720,PASS,Wholesale credit sale to U Than Lwin (5 CHARGER + 20 GLASS - 1000 discount = 139000 credit),Sale RCP-20260919-0003 posted (139000 MMK credit); customer receivable 139000 MMK; CHARGER MAIN 9 GLASS MAIN 29,SALE:3;RCP:RCP-20260919-0003;DEBT:1,docs/uat/UAT-20260919-01/screenshots/day05_credit_sale.png,Drawer unchanged 130000 MMK
DAY-06,Cashier,shwe-pyi-thit-mobile,1,1280x720,PASS,Intake repair job for Daw Khin San with 30000 MMK cash deposit,Job SVC-20260919-0001 created; 30000 MMK advance cash deposit linked to shift 1; unearned deposit recorded,JOB:1;SVC:SVC-20260919-0001;EVENT:1,docs/uat/UAT-20260919-01/screenshots/day06_repair_created.png,Drawer expected 160000 MMK
DAY-07,Store Manager,shwe-pyi-thit-mobile,1,1280x720,PASS,Collect 50000 MMK cash debt payment from U Than Lwin against DAY-05 invoice,Customer ledger entry 2 posted (-50000 MMK); customer receivable balance 89000 MMK; shift 1 cash_in credited +50000 MMK,ENTRY:2;EVENT:2,docs/uat/UAT-20260919-01/screenshots/day07_credit_collection.png,Drawer expected 210000 MMK
DAY-08,Cashier,shwe-pyi-thit-mobile,1,1280x720,PASS,Partial return of GLASS 1 qty from DAY-03 sale RCP-20260919-0001 with 5000 MMK cash refund,Return RET-20260919-0001 posted; cash refund 5000 MMK credited to shift 1 cash_refunds; MAIN GLASS stock restored from 29 to 30,RETURN:1;RET:RET-20260919-0001,docs/uat/UAT-20260919-01/screenshots/day08_return_details.png,Drawer expected 205000 MMK
DAY-09,Cashier,shwe-pyi-thit-mobile,1,1280x720,PASS,Record cash expense 2000 MMK from shift drawer for daily store expense,Expense EXP-20260919-0001 created (2000 MMK cash drawer); category ဆိုင်နေ့စဉ်အသုံးစရိတ်; linked to shift 1,EXP:1;EXP-NO:EXP-20260919-0001,docs/uat/UAT-20260919-01/screenshots/day09_cash_expense.png,Drawer expected 203000 MMK
DAY-10,Cashier,shwe-pyi-thit-mobile,1,1280x720,PASS,Audit receipts and persisted state for cash sale credit sale and refund,Cash receipt RCP-20260919-0001 credit receipt RCP-20260919-0003 and return receipt RET-20260919-0001 audited; store name cashier date and lines verified,RECEIPT:RCP-20260919-0001;RCP-20260919-0003;RET-20260919-0001,docs/uat/UAT-20260919-01/screenshots/day10_receipt_audit.png,Persisted records and thermal preview verified
CLOSE-01,Cashier,shwe-pyi-thit-mobile,1,1280x720,PASS,Verify closing cash breakdown equation and expected drawer cash 203000 MMK,Breakdown verified: Opening 100k + Cash Sales 30k + Cash In 80k - Refunds 5k - Expenses 2k = Expected 203000 MMK; KPay 55k non-drawer,SHIFT:1;BREAKDOWN:203000,docs/uat/UAT-20260919-01/screenshots/close01_shift_breakdown.png,Equation and breakdown exact
CLOSE-02,Store Manager,shwe-pyi-thit-mobile,1,1280x720,PASS,Count physical cash 203000 MMK close shift and approve daily closing,Counted cash 203000 entered with 0 variance; shift closed by Cashier; approved and locked by Manager Ko Thant; X-Report and 80mm preview verified,SHIFT:1;CLOSING:2026-09-19,docs/uat/UAT-20260919-01/screenshots/close02_closing_approved.png,Zero variance locked state verified
REG-01,Store Manager,shwe-pyi-thit-mobile,-,-,PASS,Verify transaction idempotency and duplicate submission prevention,Unique constraint on client_transaction_id blocked duplicate expense submission without double deduction,IDEMP:client_transaction_id,db:expenses,Idempotency verified
REG-02,Store Manager,shwe-pyi-thit-mobile,-,-,PASS,Enforce return policy constraints (NORET No Returns),Preset NORET configured with allow_refund=0 and content 'ပြန်အမ်းခွင့် မရှိပါ',POLICY:NORET,db:product_master_presets,Policy constraints verified
REG-03,Cashier,shwe-pyi-thit-mobile,-,-,PASS,Prevent excessive returns and cumulative return over sold quantity,GLASS sold: 1.000; already returned: 1.000; remaining refundable: 0.000; excess return blocked by PosReturnService,SALE:1;ITEM:2,db:pos_return_items,Excess return prevented
REG-04,Cashier,shwe-pyi-thit-mobile,-,-,PASS,Prevent duplicate sale of already sold serial number,Serial RMX-2026-001 already registered in Warranty ID 1 with status active; duplicate sale prevented,SER:RMX-2026-001;WARR:1,db:device_warranties,Serial uniqueness preserved
REG-05,Cashier,shwe-pyi-thit-mobile,-,-,PASS,Prevent oversell when stock is insufficient,Available POWERBANK stock: 9.000; requested 999 rejected with Insufficient Stock error,INV:3;PROD:3,db:inventory_balances,Oversell prevented
REG-06,Cashier,shwe-pyi-thit-mobile,-,-,PASS,Ensure complete atomic rollback on transaction failure mid-submission,Sales count unchanged (3 -> 3) when payment simulation threw exception mid-transaction,TX:atomic_rollback,db:pos_sales,Transaction atomicity verified
REG-07,Cashier,shwe-pyi-thit-mobile,-,-,PASS,Audit cash variance on shift closing and write AuditLog,Difference of -1000.00 MMK recorded and AuditLog cashier_shift_variance_closed created,LOG:cashier_shift_variance_closed,db:audit_logs,Variance audit trail verified
REG-08,Cashier,shwe-pyi-thit-mobile,-,-,PASS,Enforce shift lock preventing new transactions on closed shift,Shift #1 is closed; addCashEvent rejected with 'Shift #1 is already closed',SHIFT:1;LOCK:closed,db:cashier_shifts,Closed shift lock verified
REG-09,DevOps,shwe-pyi-thit-mobile,-,-,PASS,Verify Asia/Yangon timezone enforcement for business dates,Config timezone is Asia/Yangon; business date 2026-09-19 correctly parsed,TZ:Asia/Yangon,config:app.timezone,Timezone boundary verified
REG-10,Cashier,shwe-pyi-thit-mobile,-,-,PASS,Validate input boundaries (negative quantity, discount > total),Validator rejected negative quantity (-5) and excessive discount (50000 > 20000),VALIDATION:422,validator:rules,Boundary validation verified
REG-11,Store Manager,shwe-pyi-thit-mobile,-,-,PASS,Verify historical invoice price immutability on product price change,Sale RCP-20260919-0001 item unit price remains exactly 25000.00 MMK regardless of future catalog changes,ITEM:1;PRICE:25000,db:pos_sale_items,Historical snapshot immutability verified
REG-12,Store Manager,shwe-pyi-thit-mobile,-,-,PASS,Track supplier payable and partial purchase payments,PO PO-20260919-0001 subtotal 350000.00; paid 200000.00 from SAFE; remaining payable 150000.00 MMK,PO:1;PAYABLE:150000,db:purchase_orders,Supplier payable tracking verified
SEC-01,DevOps,shwe-pyi-thit-mobile,-,-,PASS,Enforce multi-tenant store isolation and role boundaries,Cashier role restricted to staff; Store B staff denied access to Store A; Store A staff denied access to Store B,ISOLATION:multi_tenant,db:store_user,Store isolation verified
SRV-01,Store Manager,shwe-pyi-thit-mobile,-,-,PASS,Verify repair service lifecycle intake and estimated charge,Ticket SVC-20260919-0001 for Daw Khin San recorded with estimated charge 80000.00 MMK and status received,JOB:1;SVC:SVC-20260919-0001,db:service_jobs,Service lifecycle intake verified
EXT-01,Store Manager,shwe-pyi-thit-mobile,-,-,PASS,Verify master data extensions (variant presets and currency settings),Variant presets (Color, Storage) and currency configurations active in master data,EXT:variants;currencies,db:variant_presets,Extensions verified
EXT-02,DevOps,shwe-pyi-thit-mobile,-,-,PASS,Verify hardware preview and offline service worker capability,Thermal print preview (80mm/58mm) and service worker offline catalog verified; Physical printer/scanner N/A,HARDWARE:preview_ok;physical:N/A,browser:preview,Offline/hardware capability catalogued
SIDE-01,Store Manager,shwe-pyi-thit-mobile,-,1366x768,PASS,Audit 45 sidebar routes across 12 functional menu groups,All 45 sidebar routes returned HTTP 200/302 OK without 404/500 errors,MENU:45_routes,docs/uat/UAT-20260919-01/capabilities.csv,Full sidebar coverage verified
RESP-01,Cashier,shwe-pyi-thit-mobile,1,375x812,PASS,Verify mobile viewport (375x812) layout and zero horizontal overflow,Mobile 2-col product grid and cart drawer rendered cleanly without overflow,VIEWPORT:375x812,docs/uat/UAT-20260919-01/screenshots/responsive_375x812_pos.png;docs/uat/UAT-20260919-01/screenshots/responsive_375x812_products.png,Mobile responsive verified
RESP-02,Cashier,shwe-pyi-thit-mobile,1,768x1024,PASS,Verify tablet viewport (768x1024) layout and touch targets,Tablet POS multi-column layout and split panels rendered cleanly,VIEWPORT:768x1024,docs/uat/UAT-20260919-01/screenshots/responsive_768x1024_pos.png,Tablet responsive verified
RESP-03,Store Manager,shwe-pyi-thit-mobile,1,1366x768,PASS,Verify desktop viewport (1366x768) Admin UI v4.1 ultra-dense rhythm and centered stat cards,Admin Dashboard ultra-dense 2px rhythm and centered row-based stat cards verified,VIEWPORT:1366x768,docs/uat/UAT-20260919-01/screenshots/responsive_1366x768_dashboard.png,Desktop standard v4.1 verified
